city,main_url
Mont Saint Michel,https://www.booking.com/searchresults.fr.html?ss=Mont+Saint+Michel&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
St Malo,https://www.booking.com/searchresults.fr.html?ss=St+Malo&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Bayeux,https://www.booking.com/searchresults.fr.html?ss=Bayeux&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Le Havre,https://www.booking.com/searchresults.fr.html?ss=Le+Havre&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Rouen,https://www.booking.com/searchresults.fr.html?ss=Rouen&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Paris,https://www.booking.com/searchresults.fr.html?ss=Paris&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Amiens,https://www.booking.com/searchresults.fr.html?ss=Amiens&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Lille,https://www.booking.com/searchresults.fr.html?ss=Lille&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Strasbourg,https://www.booking.com/searchresults.fr.html?ss=Strasbourg&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Chateau du Haut Koenigsbourg,https://www.booking.com/searchresults.fr.html?ss=Chateau+du+Haut+Koenigsbourg&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Colmar,https://www.booking.com/searchresults.fr.html?ss=Colmar&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Eguisheim,https://www.booking.com/searchresults.fr.html?ss=Eguisheim&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Besancon,https://www.booking.com/searchresults.fr.html?ss=Besancon&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Dijon,https://www.booking.com/searchresults.fr.html?ss=Dijon&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Annecy,https://www.booking.com/searchresults.fr.html?ss=Annecy&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Grenoble,https://www.booking.com/searchresults.fr.html?ss=Grenoble&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Lyon,https://www.booking.com/searchresults.fr.html?ss=Lyon&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Gorges du Verdon,https://www.booking.com/searchresults.fr.html?ss=Gorges+du+Verdon&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Bormes les Mimosas,https://www.booking.com/searchresults.fr.html?ss=Bormes+les+Mimosas&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Cassis,https://www.booking.com/searchresults.fr.html?ss=Cassis&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Marseille,https://www.booking.com/searchresults.fr.html?ss=Marseille&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Aix en Provence,https://www.booking.com/searchresults.fr.html?ss=Aix+en+Provence&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Avignon,https://www.booking.com/searchresults.fr.html?ss=Avignon&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Uzes,https://www.booking.com/searchresults.fr.html?ss=Uzes&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Nimes,https://www.booking.com/searchresults.fr.html?ss=Nimes&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Aigues Mortes,https://www.booking.com/searchresults.fr.html?ss=Aigues+Mortes&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Saintes Maries de la mer,https://www.booking.com/searchresults.fr.html?ss=Saintes+Maries+de+la+mer&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Collioure,https://www.booking.com/searchresults.fr.html?ss=Collioure&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Carcassonne,https://www.booking.com/searchresults.fr.html?ss=Carcassonne&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Ariege,https://www.booking.com/searchresults.fr.html?ss=Ariege&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Toulouse,https://www.booking.com/searchresults.fr.html?ss=Toulouse&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Montauban,https://www.booking.com/searchresults.fr.html?ss=Montauban&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Biarritz,https://www.booking.com/searchresults.fr.html?ss=Biarritz&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
Bayonne,https://www.booking.com/searchresults.fr.html?ss=Bayonne&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
La Rochelle,https://www.booking.com/searchresults.fr.html?ss=La+Rochelle&ac_langcode=fr&dest_type=city&checkin=2022-08-26&checkout=2022-08-27
